"partida_id","rodata","clube","cartao","atleta","num_camisa","posicao","minuto"
"4607","1","Figueirense","Amarelo","Paulo Roberto da Silva","28","","66"
"4608","1","Internacional","Amarelo","Andrés D'Alessandro","10","Meio-campo","72"
"4608","1","Vitoria","Amarelo","Marcelo Machado dos Santos","29","","86"
"4608","1","Vitoria","Amarelo","Mansur","","Zagueiro","10"
"4607","1","Figueirense","Amarelo","Thiago Heleno","4","Zagueiro","44"
"4608","1","Internacional","Amarelo","Juan Silveira dos Santos","4","Zagueiro","20"
"4608","1","Vitoria","Amarelo","Vinícius Santos Silva","","","82"
"4609","1","Coritiba","Amarelo","Carlos Emiliano Pereira","30","Zagueiro","76"
"4615","1","Sport","Amarelo","Luiz Antonio Linhares Garcia","13","Zagueiro","55"
"4616","1","Criciuma","Amarelo","Silvinho","","Atacante","72"
"4616","1","Criciuma","Amarelo","João Vitor Lima Gomes","","Meio-campo","29"
"4616","1","Palmeiras","Amarelo","Josimar","15","Meio-campo","90+1"
"4616","1","Palmeiras","Amarelo","Marcelo Oliveira Ferreira","26","Meio-campo","26"
"4610","1","Athletico-PR","Amarelo","Paulinho Dias","17","Meio-campo","38"
"4610","1","Gremio","Amarelo","Ramiro Moschen Benetti","17","Meio-campo","62"
"4611","1","Botafogo-RJ","Amarelo","Marcelo Mattos","5","Meio-campo","67"
"4612","1","Bahia","Amarelo","Cristian Chagas Tarouco","3","Zagueiro","78"
"4612","1","Bahia","Amarelo","Rhayner","","Atacante","41"
"4612","1","Cruzeiro","Amarelo","Willian Farias","15","","90+1"
"4612","1","Cruzeiro","Amarelo","Willian Gomes de Siqueira","9","Atacante","45+1"
"4614","1","Flamengo","Amarelo","Wallace Reis da Silva","14","Zagueiro","47"
"4614","1","Flamengo","Amarelo","Léo Moura","2","Zagueiro","31"
"4614","1","Goias","Amarelo","Thiago Henrique Mendes Ribeiro","23","Meio-campo","72"
"4615","1","Santos","Amarelo","Jubal Rocha Mendes Júnior","36","","90+1"
"4615","1","Sport","Amarelo","Rodrigo Mancha","5","Meio-campo","43"
"4616","1","Criciuma","Amarelo","Sergio Escudero","","Zagueiro","56"
"4616","1","Palmeiras","Amarelo","Alan Kardec","14","Atacante","90+2"
"4616","1","Palmeiras","Amarelo","Fernando Prass","1","Goleiro","72"
"4616","1","Palmeiras","Amarelo","Jorge Valdivia","10","Meio-campo","22"
"4610","1","Gremio","Amarelo","Edinho","15","Meio-campo","72"
"4611","1","Sao Paulo","Amarelo","Álvaro Pereira","6","Zagueiro","31"
"4611","1","Botafogo-RJ","Amarelo","Juan Carlos Ferreyra","9","Atacante","30"
"4612","1","Bahia","Amarelo","Pará","40","Zagueiro","60"
"4612","1","Bahia","Amarelo","Fahel","7","Meio-campo","39"
"4612","1","Cruzeiro","Amarelo","Paulo César Tinga","7","Meio-campo","48"
"4612","1","Cruzeiro","Amarelo","Nílton Ferreira Júnior","19","Meio-campo","22"
"4614","1","Flamengo","Amarelo","Lucas Mugni","","Meio-campo","37"
"4614","1","Flamengo","Amarelo","Maurício Azevedo Alves","40","Meio-campo","24"
"4614","1","Goias","Amarelo","Tiago Real","","","69"
"4615","1","Sport","Amarelo","Neto Baiano","9","Atacante","75"
"4617","2","Coritiba","Amarelo","José Gildeixon Clemente de Paiva","8","Meio-campo","56"
"4617","2","Coritiba","Amarelo","Luccas Claro","3","Zagueiro","47"
"4617","2","Santos","Amarelo","Alan Santos da Silva","","Meio-campo","81"
"4617","2","Santos","Amarelo","Neuciano Gusmão","4","Zagueiro","17"
"4618","2","Fluminense","Amarelo","Wagner Ferreira dos Santos","10","Meio-campo","73"
"4617","2","Coritiba","Amarelo","Zé Love","7","Atacante","52"
"4617","2","Santos","Amarelo","Stéfano Yuri","","","89"
"4617","2","Santos","Amarelo","Alison Lopes Ferreira","5","Meio-campo","79"
"4618","2","Palmeiras","Amarelo","Jorge Valdivia","10","Meio-campo","86"
"4618","2","Fluminense","Amarelo","Darío Conca","11","Meio-campo","64"
"4619","2","Botafogo-RJ","Amarelo","Edílson Mendes Guimarães","33","","82"
"4619","2","Internacional","Amarelo","Otávio","33","","90+3"
