ID;Mandante;Chutes;Chutes a gol;Posse de bola;Passes;Precisão de passe;Faltas;Cartões amarelos;Cartões vermelhos;Impedimentos;Escanteios
6041;1;13;0;45%;326;;20;2;0;3;3
6041;0;16;0;55%;388;;21;2;0;0;5
6040;1;17;0;50%;406;;20;2;0;2;11
6040;0;10;0;50%;426;;14;4;0;4;2
6042;1;26;11;74%;702;;9;2;0;1;5
6042;0;3;0;26%;250;;14;0;1;1;3
6044;1;11;0;45%;401;;17;3;0;2;5
6044;0;17;0;55%;473;;21;4;1;0;10
6046;1;10;0;39%;335;;17;1;0;1;2
6046;0;17;0;61%;502;;17;2;0;1;11
6048;1;19;0;54%;502;;17;2;0;1;4
6048;0;12;0;46%;430;;12;1;0;6;6
6047;1;13;0;56%;487;;17;3;0;4;2
6047;0;11;0;44%;391;;15;1;0;2;4
6049;1;17;0;54%;449;;17;1;0;0;7
6049;0;7;0;46%;391;;14;2;1;3;1
6045;1;16;0;51%;462;;10;2;0;2;4
6045;0;8;0;49%;452;;11;1;1;2;3
6043;1;11;0;62%;439;;16;3;0;0;4
6043;0;5;0;38%;279;;27;5;0;2;2
6052;1;13;0;41%;334;;14;2;0;0;6
6052;0;8;0;59%;477;;18;1;1;1;5
6051;1;9;0;43%;353;;22;2;0;3;2
6051;0;10;0;57%;456;;13;3;0;4;4
6050;1;13;0;46%;437;;16;2;0;1;7
6050;0;11;0;54%;487;;13;4;0;5;2
6055;1;12;0;47%;381;;18;2;0;3;6
6055;0;14;0;53%;436;;13;6;0;0;7
6056;1;16;8;54%;466;;17;2;0;1;7
6056;0;8;2;46%;411;;9;1;0;2;0
6054;1;18;0;59%;492;;10;2;0;6;13
6054;0;14;0;41%;373;;7;3;0;1;3
6059;1;20;0;44%;351;;18;1;0;2;15
6059;0;7;0;56%;445;;13;4;0;5;3
6053;1;8;0;39%;377;;17;3;0;5;1
6053;0;11;0;61%;589;;12;1;0;3;5
6058;1;19;0;40%;373;;15;1;0;5;6
6058;0;10;0;60%;549;;14;3;0;1;4
6057;1;8;0;57%;451;;17;3;0;2;4
6057;0;6;0;43%;345;;26;7;0;4;9
6062;1;16;0;63%;642;;12;2;0;3;5
6062;0;7;0;37%;380;;11;0;0;1;0
6060;1;13;0;61%;466;;15;6;0;1;8
6060;0;7;0;39%;312;;16;2;1;0;1
6061;1;19;0;63%;536;;16;6;0;1;11
6061;0;5;0;37%;326;;24;5;0;1;4
6068;1;21;0;74%;445;;13;6;1;5;13
6068;0;7;0;26%;171;;24;4;1;1;6
6067;1;13;0;40%;307;;13;5;0;3;4
6067;0;15;0;60%;462;;20;6;0;3;5
6065;1;11;0;36%;324;;7;4;1;4;2
6065;0;16;0;64%;537;;8;0;0;3;9
6063;1;15;4;42%;355;;19;2;0;2;9
6063;0;7;2;58%;500;;6;2;0;3;6
6066;1;13;0;43%;338;;15;5;0;0;4
6066;0;8;0;57%;443;;17;6;0;7;2
6064;1;22;0;54%;390;;17;2;0;3;16
6064;0;15;0;46%;357;;11;2;0;4;3
6069;1;12;0;49%;388;;13;1;0;1;2
6069;0;9;0;51%;385;;17;4;0;0;5
6072;1;13;0;47%;438;;20;4;0;1;0
6072;0;14;0;53%;483;;15;1;1;0;4
6071;1;11;0;58%;413;;17;4;0;3;5
6071;0;11;0;42%;310;;21;4;0;0;3
6070;1;10;0;54%;464;;12;0;0;1;4
6070;0;19;0;46%;399;;13;4;0;4;7
6075;1;18;0;54%;472;;9;1;0;6;8
6075;0;15;0;46%;415;;11;2;0;0;7
6073;1;10;0;41%;345;;14;1;0;0;2
6073;0;9;0;59%;495;;14;1;0;1;3
6076;1;21;0;53%;457;;16;0;0;2;5
6076;0;9;0;47%;413;;12;3;0;3;7
6079;1;9;0;54%;477;;21;5;0;4;2
6079;0;12;0;46%;409;;21;5;0;3;6
6074;1;8;0;54%;516;;19;3;0;3;5
6074;0;14;0;46%;434;;17;0;1;3;10
6078;1;15;5;67%;475;;24;5;1;1;8
6078;0;7;2;33%;253;;23;3;1;0;1
6077;1;9;0;32%;266;;17;3;0;2;5
6077;0;22;0;68%;545;;11;5;1;1;4
6081;1;12;0;47%;385;;12;1;0;1;6
6081;0;9;0;53%;442;;8;4;0;5;4
6085;1;14;0;52%;441;;15;1;2;0;6
6085;0;16;0;48%;417;;18;3;0;3;2
6082;1;10;0;53%;349;;16;3;0;1;7
6082;0;12;0;47%;314;;12;5;0;1;10
6086;1;13;0;63%;531;;14;5;0;1;8
6086;0;8;0;37%;329;;15;3;1;0;1
6083;1;11;0;52%;410;;16;2;0;2;5
6083;0;8;0;48%;378;;17;3;0;1;10
6080;1;7;0;46%;395;;12;3;0;3;10
6080;0;16;0;54%;479;;15;3;0;4;7
6084;1;13;0;38%;397;;22;2;0;6;3
6084;0;20;0;62%;627;;10;3;0;0;5
6088;1;12;6;53%;451;;13;1;0;1;3
6088;0;8;4;47%;414;;24;4;0;3;4
6089;1;16;0;67%;597;;11;2;0;4;7
6089;0;9;0;33%;296;;13;4;0;1;3
6087;1;15;0;57%;456;;15;1;0;3;9
6087;0;5;0;43%;354;;13;4;0;1;2
6093;1;14;0;64%;462;;12;0;0;3;7
6093;0;11;0;36%;268;;13;0;0;2;6
6094;1;18;0;64%;437;;13;1;0;2;5
6094;0;6;0;36%;262;;12;0;1;1;1
6090;1;18;0;52%;451;;17;2;0;2;6
6090;0;19;0;48%;416;;15;2;0;3;2
6091;1;13;0;45%;380;;15;4;0;2;7
6091;0;14;0;55%;480;;7;3;0;2;3
6092;1;14;0;51%;432;;8;1;0;1;9
6092;0;13;0;49%;430;;9;1;0;0;5
6095;1;13;0;60%;631;;19;3;0;2;4
6095;0;9;0;40%;436;;14;2;0;1;3
6099;1;12;0;51%;424;;5;3;1;2;3
6099;0;18;0;49%;401;;16;5;0;4;11
6098;1;7;0;33%;253;;22;3;0;7;2
6098;0;13;0;67%;506;;14;3;0;3;4
6097;1;8;0;56%;496;;15;2;0;4;6
6097;0;11;0;44%;401;;17;4;0;2;2
6096;1;15;4;47%;408;;12;3;0;3;7
6096;0;7;1;53%;479;;10;2;0;0;5
6100;1;18;0;63%;520;;8;1;0;4;12
6100;0;10;0;37%;320;;15;4;0;4;5
6103;1;12;0;57%;478;;17;2;0;0;8
6103;0;8;0;43%;380;;14;3;1;2;2
6104;1;15;0;60%;460;;5;2;0;3;7
6104;0;5;0;40%;322;;29;4;0;1;3
6101;1;13;0;48%;392;;10;0;0;4;4
6101;0;12;0;52%;427;;9;2;0;1;7
6105;1;10;0;47%;379;;10;0;0;7;3
6105;0;21;0;53%;417;;13;4;0;2;6
6102;1;14;0;60%;536;;13;2;0;3;6
6102;0;8;0;40%;362;;25;4;0;1;0
6107;1;16;0;62%;430;;24;3;0;3;5
6107;0;17;0;38%;279;;19;3;0;1;6
6106;1;8;0;58%;304;;14;4;0;0;5
6106;0;9;0;42%;229;;26;3;0;4;2
6109;1;25;11;68%;564;;6;0;0;1;7
6109;0;6;3;32%;283;;13;6;2;0;2
6108;1;20;0;56%;428;;8;1;0;6;13
6108;0;12;0;44%;344;;22;4;0;0;7
