Rodada,Data,Horário,Dia,Mandante,Visitante,Vencedor,Arena,Mandante Placar,Visitante Placar,Estado Mandante,Estado Visitante,Estado Vencedor
1,2000-07-29,16h00,Sábado,Fluminense,Bahia,Fluminense,Maracanã,2,0,RJ,BA,RJ
1,2000-07-29,16h00,Sábado,Vasco,Sport,Sport,São Januário,0,2,RJ,PE,PE
1,2000-07-29,16h00,Sábado,Vitória,Palmeiras,Vitória,Barradão,4,1,ES,SP,ES
1,2000-07-30,17h00,Domingo,Botafogo-RJ,Atlético-MG,-,Caio Martins,0,0,RJ,MG,-
1,2000-07-30,18h30,Domingo,Juventude,Flamengo,-,Alfredo Jaconi,1,1,RS,RJ,-
1,2000-07-30,16h00,Domingo,Guarani,Santa Cruz,-,Brinco de Ouro,0,0,SP,PE,-
1,2000-07-30,17h00,Domingo,Cruzeiro,Athlético-PR,Athlético-PR,Mineirão,0,2,MG,PR,PR
1,2000-07-30,16h00,Domingo,América-MG,Gama,Gama,Independência,0,1,MG,DF,DF
1,2000-07-30,18h30,Domingo,Goiás,Corinthians,Goiás,Serra Dourada,3,0,GO,SP,GO
2,2000-08-02,20h30,Quarta-feira,Coritiba,Sport,-,Couto Pereira,0,0,PR,PE,-
2,2000-08-02,20h30,Quarta-feira,Bahia,Athlético-PR,Bahia,Fonte Nova,2,1,BH,PR,BA
2,2000-08-02,21h40,Quarta-feira,Flamengo,Grêmio,Flamengo,Maracanã,3,0,RJ,RS,RJ
2,2000-08-02,20h30,Quarta-feira,Gama,Fluminense,Gama,Mané Garrincha,2,1,DF,RJ,DF
2,2000-08-02,20h30,Quarta-feira,Internacional,Goiás,Goiás,Beira Rio,0,1,RS,GO,GO
2,2000-08-02,20h30,Quarta-feira,Ponte Preta,América-MG,Ponte Preta,Moisés Lucarelli,3,1,SP,MG,SP
2,2000-08-02,20h30,Quarta-feira,Santos,Vitória,Santos,Vila Belmiro,2,0,SP,ES,SP
2,2000-08-03,20h30,Quinta-feira,Palmeiras,Botafogo-RJ,-,Pq. Antarctica,0,0,SP,RJ,-
3,2000-08-05,16h00,Sábado,Athlético-PR,Flamengo,-,Joaquim Américo,1,1,PR,RJ,-
3,2000-08-05,18h00,Sábado,Corinthians,Gama,Corinthians,Canindé,4,2,SP,DF,SP
3,2000-08-05,16h00,Sábado,Fluminense,Santos,Fluminense,Maracanã,2,1,RJ,SP,RJ
3,2000-08-06,16h00,Domingo,Atlético-MG,Bahia,-,Mineirão,0,0,MG,BA,-
3,2000-08-06,17h00,Domingo,Vasco,Cruzeiro,-,São Januário,3,3,RJ,MG,-
3,2000-08-06,16h00,Domingo,Juventude,Ponte Preta,-,Alfredo Jaconi,1,1,RS,SP,-
3,2000-08-06,18h30,Domingo,Coritiba,Botafogo-RJ,Botafogo-RJ,Couto Pereira,0,2,PR,RJ,RJ
3,2000-08-06,16h00,Domingo,Portuguesa,Goiás,Goiás,Canindé,0,2,SP,GO,GO
3,2000-08-06,18h30,Domingo,Grêmio,Palmeiras,Palmeiras,Olímpico Monumental,0,1,RS,SP,SP
3,2000-08-06,17h00,Domingo,São Paulo,Santa Cruz,São Paulo,Morumbi,2,1,SP,PE,SP
4,2000-08-09,21h40,Quarta-feira,Internacional,Fluminense,-,Beira Rio,1,1,RS,RJ,-
4,2000-08-09,20h30,Quarta-feira,Bahia,Grêmio,-,Fonte Nova,1,1,BH,RS,-
4,2000-08-09,20h30,Quarta-feira,Flamengo,Guarani,-,Maracanã,1,1,RJ,SP,-
4,2000-08-09,20h30,Quarta-feira,Santos,São Paulo,-,Vila Belmiro,1,1,SP,SP,-
4,2000-08-09,20h30,Quarta-feira,Gama,Athlético-PR,Athlético-PR,Mané Garrincha,0,1,DF,PR,PR
4,2000-08-09,20h30,Quarta-feira,Botafogo-RJ,Portuguesa,Botafogo-RJ,Caio Martins,4,1,RJ,SP,RJ
4,2000-08-09,20h30,Quarta-feira,Goiás,Coritiba,Goiás,Serra Dourada,1,0,GO,PR,GO
4,2000-08-09,20h30,Quarta-feira,Santa Cruz,Vitória,Santa Cruz,Arruda,2,1,PE,ES,PE
5,2000-08-11,20h30,Sexta-feira,Palmeiras,Goiás,-,Pq. Antarctica,1,1,SP,GO,-
5,2000-08-11,20h30,Sexta-feira,Athlético-PR,Atlético-MG,Athlético-PR,Joaquim Américo,2,1,PR,MG,PR
5,2000-08-11,20h30,Sexta-feira,Vasco,Corinthians,Vasco,São Januário,1,0,RJ,SP,RJ
6,2000-08-12,16h00,Sábado,Coritiba,Gama,Gama,Couto Pereira,0,1,PR,DF,DF
6,2000-08-12,18h00,Sábado,Grêmio,Santos,Santos,Olímpico Monumental,0,2,RS,SP,SP
6,2000-08-12,18h00,Sábado,São Paulo,Flamengo,São Paulo,Morumbi,3,2,SP,RJ,SP
6,2000-08-13,18h30,Domingo,Sport,Cruzeiro,-,Ilha do Retiro,1,1,PE,MG,-
6,2000-08-13,18h30,Domingo,Athlético-PR,Palmeiras,-,Joaquim Américo,0,0,PR,SP,-
6,2000-08-13,17h00,Domingo,Corinthians,Santa Cruz,Corinthians,Pacaembu,2,0,SP,PE,SP
6,2000-08-13,17h00,Domingo,Botafogo-RJ,Internacional,Internacional,Maracanã,0,1,RJ,RS,RS
6,2000-08-13,16h00,Domingo,Portuguesa,Juventude,Portuguesa,Canindé,2,0,SP,RS,SP
6,2000-08-13,18h30,Domingo,Guarani,Vasco,Vasco,Brinco de Ouro,0,1,SP,RJ,RJ
6,2000-08-13,16h00,Domingo,Goiás,Vitória,Vitória,Serra Dourada,4,5,GO,ES,ES
7,2000-08-16,20h30,Quarta-feira,Internacional,Atlético-MG,-,Beira Rio,1,1,RS,MG,-
7,2000-08-16,20h30,Quarta-feira,Fluminense,Guarani,-,Laranjeiras,0,0,RJ,SP,-
7,2000-08-16,22h00,Quarta-feira,Cruzeiro,São Paulo,-,Mineirão,2,2,MG,SP,-
7,2000-08-16,22h00,Quarta-feira,Santa Cruz,Vasco,-,Arruda,1,1,PE,RJ,-
7,2000-08-16,20h30,Quarta-feira,Gama,Bahia,Bahia,Mané Garrincha,0,1,DF,BA,BA
7,2000-08-16,20h30,Quarta-feira,Palmeiras,Corinthians,Corinthians,Morumbi,0,1,SP,SP,SP
7,2000-08-16,20h30,Quarta-feira,Goiás,Botafogo-RJ,Goiás,Serra Dourada,3,2,GO,RJ,GO
7,2000-08-16,20h30,Quarta-feira,Santos,América-MG,Santos,Vila Belmiro,3,0,SP,MG,SP
7,2000-08-16,20h30,Quarta-feira,Vitória,Portuguesa,Vitória,Barradão,2,0,ES,SP,ES
7,2000-08-17,20h30,Quinta-feira,Flamengo,Coritiba,Flamengo,Maracanã,2,1,RJ,PR,RJ
8,2000-08-19,15h45,Sábado,América-MG,Fluminense,-,Independência,1,1,MG,RJ,-
8,2000-08-19,18h00,Sábado,Gama,Goiás,-,Mané Garrincha,1,1,DF,GO,-
8,2000-08-19,15h45,Sábado,Atlético-MG,Santos,Atlético-MG,Mineirão,1,0,MG,SP,MG
8,2000-08-19,16h00,Sábado,Guarani,Cruzeiro,Cruzeiro,Brinco de Ouro,0,1,SP,MG,MG
8,2000-08-19,18h00,Sábado,Palmeiras,Internacional,Internacional,Morumbi,1,4,SP,RS,RS
8,2000-08-20,17h00,Domingo,São Paulo,Bahia,-,Morumbi,1,1,SP,BA,-
8,2000-08-20,18h30,Domingo,Botafogo-RJ,Corinthians,-,Maracanã,1,1,RJ,SP,-
8,2000-08-20,18h30,Domingo,Santa Cruz,Flamengo,-,Arruda,2,2,PE,RJ,-
8,2000-08-20,16h00,Domingo,Juventude,Sport,-,Alfredo Jaconi,1,1,RS,PE,-
8,2000-08-20,17h00,Domingo,Athlético-PR,Coritiba,Coritiba,Joaquim Américo,1,3,PR,PR,PR
8,2000-08-20,17h00,Domingo,Vasco,Ponte Preta,Vasco,São Januário,2,1,RJ,SP,RJ
9,2000-08-23,20h30,Quarta-feira,América-MG,Athlético-PR,-,Independência,0,0,MG,PR,-
9,2000-08-23,20h30,Quarta-feira,Internacional,Guarani,-,Beira Rio,0,0,RS,SP,-
9,2000-08-23,20h30,Quarta-feira,Goiás,Santa Cruz,-,Serra Dourada,1,1,GO,PE,-
9,2000-08-23,20h30,Quarta-feira,Juventude,Santos,-,Alfredo Jaconi,1,1,RS,SP,-
9,2000-08-23,20h30,Quarta-feira,Bahia,Cruzeiro,Cruzeiro,Fonte Nova,1,3,BH,MG,MG
9,2000-08-23,22h00,Quarta-feira,Vitória,Fluminense,Fluminense,Barradão,2,4,ES,RJ,RJ
9,2000-08-23,20h30,Quarta-feira,Ponte Preta,Gama,Ponte Preta,Canindé,3,0,SP,DF,SP
10,2000-08-26,15h45,Sábado,Athlético-PR,São Paulo,Athlético-PR,Joaquim Américo,2,1,PR,SP,PR
10,2000-08-26,15h45,Sábado,Guarani,Botafogo-RJ,Botafogo-RJ,Brinco de Ouro,1,2,SP,RJ,RJ
10,2000-08-26,18h00,Sábado,Cruzeiro,Vitória,Cruzeiro,Mineirão,3,1,MG,ES,MG
10,2000-08-26,18h00,Sábado,Fluminense,Juventude,Fluminense,Maracanã,2,0,RJ,RS,RJ
10,2000-08-27,17h00,Domingo,Internacional,Coritiba,-,Beira Rio,1,1,RS,PR,-
10,2000-08-27,18h30,Domingo,Portuguesa,Vasco,-,Canindé,2,2,SP,RJ,-
10,2000-08-27,17h00,Domingo,Bahia,Santa Cruz,Bahia,Fonte Nova,3,2,BH,PE,BA
10,2000-08-27,17h00,Domingo,Corinthians,Grêmio,Grêmio,Pacaembu,1,2,SP,RS,RS
10,2000-08-27,18h30,Domingo,Santos,Palmeiras,Palmeiras,Vila Belmiro,2,3,SP,SP,SP
10,2000-08-27,16h00,Domingo,Ponte Preta,Atlético-MG,Ponte Preta,Moisés Lucarelli,3,2,SP,MG,SP
10,2000-08-27,18h30,Domingo,Sport,Goiás,Sport,Ilha do Retiro,2,0,PE,GO,PE
11,2000-08-30,22h00,Quarta-feira,Botafogo-RJ,Athlético-PR,Athlético-PR,Maracanã,0,2,RJ,PR,PR
11,2000-08-30,20h30,Quarta-feira,Guarani,Juventude,Juventude,Brinco de Ouro,1,2,SP,RS,RS
11,2000-08-30,20h30,Quarta-feira,Portuguesa,Gama,Portuguesa,Canindé,3,1,SP,DF,SP
11,2000-08-30,20h30,Quarta-feira,Corinthians,Santos,Santos,Pacaembu,0,3,SP,SP,SP
11,2000-08-30,20h30,Quarta-feira,Vitória,Internacional,Vitória,Barradão,3,0,ES,RS,ES
12,2000-09-02,15h45,Sábado,Coritiba,Bahia,-,Couto Pereira,1,1,PR,BA,-
12,2000-09-02,15h45,Sábado,Santos,Cruzeiro,-,Vila Belmiro,1,1,SP,MG,-
12,2000-09-02,18h00,Sábado,Grêmio,Ponte Preta,-,Olímpico Monumental,2,2,RS,SP,-
12,2000-09-02,16h00,Sábado,Santa Cruz,Portuguesa,-,Arruda,0,0,PE,SP,-
12,2000-09-02,16h00,Sábado,América-MG,Guarani,América-MG,Independência,1,0,MG,SP,MG
12,2000-09-02,15h45,Sábado,Atlético-MG,Flamengo,Flamengo,Mineirão,1,2,MG,RJ,RJ
12,2000-09-02,16h00,Sábado,Fluminense,Botafogo-RJ,Fluminense,Maracanã,1,0,RJ,RJ,RJ
12,2000-09-02,15h45,Sábado,Gama,Internacional,Internacional,Mané Garrincha,0,1,DF,RS,RS
12,2000-09-02,18h00,Sábado,Palmeiras,São Paulo,São Paulo,Morumbi,0,3,SP,SP,SP
12,2000-09-02,15h45,Sábado,Vitória,Sport,Vitória,Barradão,4,3,ES,PE,ES
13,2000-09-05,20h30,Terça-feira,Vasco,Athlético-PR,-,São Januário,2,2,RJ,PR,-
13,2000-09-05,20h30,Terça-feira,Cruzeiro,Internacional,-,Mineirão,1,1,MG,RS,-
13,2000-09-06,20h30,Quarta-feira,Gama,Santa Cruz,-,Bezerrão,1,1,DF,PE,-
13,2000-09-06,22h00,Quarta-feira,América-MG,Botafogo-RJ,América-MG,Mineirão,5,2,MG,RJ,MG
13,2000-09-06,20h30,Quarta-feira,Fluminense,Portuguesa,Fluminense,Maracanã,2,1,RJ,SP,RJ
13,2000-09-06,20h30,Quarta-feira,Juventude,Coritiba,Juventude,Alfredo Jaconi,2,1,RS,PR,RS
13,2000-09-07,15h45,Quinta-feira,Atlético-MG,Corinthians,Atlético-MG,Mineirão,3,1,MG,SP,MG
13,2000-09-07,18h00,Quinta-feira,Grêmio,Sport,Grêmio,Olímpico Monumental,1,0,RS,PE,RS
13,2000-09-07,18h00,Quinta-feira,Ponte Preta,Vitória,Ponte Preta,Moisés Lucarelli,2,1,SP,ES,SP
14,2000-09-09,18h00,Sábado,Sport,Guarani,-,Ilha do Retiro,1,1,PE,SP,-
14,2000-09-09,18h00,Sábado,Goiás,América-MG,Goiás,Serra Dourada,2,0,GO,MG,GO
14,2000-09-09,15h45,Sábado,Santa Cruz,Santos,Santos,Arruda,0,1,PE,SP,SP
14,2000-09-09,15h45,Sábado,São Paulo,Fluminense,São Paulo,Morumbi,2,0,SP,RJ,SP
14,2000-09-10,18h30,Domingo,Flamengo,Palmeiras,-,Maracanã,0,0,RJ,SP,-
14,2000-09-10,17h00,Domingo,Corinthians,Vitória,-,Pacaembu,1,1,SP,ES,-
14,2000-09-10,18h30,Domingo,Bahia,Vasco,Bahia,Fonte Nova,3,1,BH,RJ,BA
14,2000-09-10,17h00,Domingo,Coritiba,Ponte Preta,Coritiba,Couto Pereira,2,0,PR,SP,PR
14,2000-09-10,17h00,Domingo,Cruzeiro,Gama,Cruzeiro,Mineirão,2,1,MG,DF,MG
14,2000-09-10,18h30,Domingo,Juventude,Grêmio,Juventude,Alfredo Jaconi,4,3,RS,RS,RS
14,2000-09-10,18h30,Domingo,Portuguesa,Atlético-MG,Portuguesa,Canindé,2,1,SP,MG,SP
15,2000-09-13,20h30,Quarta-feira,Ponte Preta,São Paulo,-,Moisés Lucarelli,3,3,SP,SP,-
15,2000-09-13,22h00,Quarta-feira,Cruzeiro,Botafogo-RJ,Cruzeiro,Mineirão,4,0,MG,RJ,MG
15,2000-09-13,20h30,Quarta-feira,Gama,Palmeiras,Gama,Mané Garrincha,2,0,DF,SP,DF
15,2000-09-13,20h30,Quarta-feira,Portuguesa,Bahia,Portuguesa,Canindé,3,1,SP,BA,SP
15,2000-09-13,20h30,Quarta-feira,Sport,Athlético-PR,Sport,Ilha do Retiro,4,1,PE,PR,PE
15,2000-09-13,20h30,Quarta-feira,Vasco,Fluminense,Vasco,Maracanã,4,3,RJ,RJ,RJ
15,2000-09-13,20h30,Quarta-feira,Vitória,Coritiba,Vitória,Barradão,3,1,ES,PR,ES
15,2000-09-14,20h30,Quinta-feira,Flamengo,Goiás,Flamengo,Maracanã,3,1,RJ,GO,RJ
15,2000-09-14,20h30,Quinta-feira,Grêmio,América-MG,Grêmio,Olímpico Monumental,2,1,RS,MG,RS
16,2000-09-16,15h45,Sábado,Atlético-MG,Fluminense,-,Mineirão,2,2,MG,RJ,-
16,2000-09-16,16h00,Sábado,Vitória,Gama,-,Barradão,1,1,ES,DF,-
16,2000-09-16,15h45,Sábado,Internacional,Santos,-,Beira Rio,1,1,RS,SP,-
16,2000-09-16,18h00,Sábado,Botafogo-RJ,Ponte Preta,Botafogo-RJ,Caio Martins,3,1,RJ,SP,RJ
16,2000-09-16,18h00,Sábado,Athlético-PR,Juventude,Juventude,Joaquim Américo,0,1,PR,RS,RS
16,2000-09-17,18h30,Domingo,Coritiba,Corinthians,-,Couto Pereira,1,1,PR,SP,-
16,2000-09-17,17h00,Domingo,Grêmio,Cruzeiro,-,Olímpico Monumental,0,0,RS,MG,-
16,2000-09-17,18h30,Domingo,Guarani,Goiás,-,Brinco de Ouro,0,0,SP,GO,-
16,2000-09-17,17h00,Domingo,Palmeiras,Sport,-,Pq. Antarctica,1,1,SP,PE,-
16,2000-09-17,16h00,Domingo,América-MG,Santa Cruz,América-MG,Independência,1,0,MG,PE,MG
16,2000-09-17,18h30,Domingo,Bahia,Flamengo,Bahia,Fonte Nova,4,1,BH,RJ,BA
16,2000-09-17,16h00,Domingo,São Paulo,Portuguesa,São Paulo,Morumbi,2,0,SP,SP,SP
17,2000-09-20,20h30,Quarta-feira,Juventude,Gama,Gama,Alfredo Jaconi,0,2,RS,DF,DF
17,2000-09-20,20h30,Quarta-feira,Ponte Preta,Portuguesa,Ponte Preta,Moisés Lucarelli,3,1,SP,SP,SP
17,2000-09-20,20h30,Quarta-feira,Santos,Athlético-PR,Santos,Vila Belmiro,2,1,SP,PR,SP
17,2000-09-20,20h30,Quarta-feira,Sport,Bahia,Sport,Ilha do Retiro,3,0,PE,BA,PE
17,2000-09-20,22h00,Quarta-feira,Vasco,América-MG,Vasco,São Januário,4,0,RJ,MG,RJ
18,2000-09-23,16h00,Sábado,América-MG,Internacional,-,Independência,1,1,MG,RS,-
18,2000-09-23,15h45,Sábado,Flamengo,Santos,Flamengo,Maracanã,3,0,RJ,SP,RJ
18,2000-09-23,18h00,Sábado,Grêmio,Vitória,Grêmio,Olímpico Monumental,1,0,RS,ES,RS
18,2000-09-23,18h00,Sábado,Guarani,Coritiba,Guarani,Brinco de Ouro,2,0,SP,PR,SP
18,2000-09-24,18h30,Domingo,Santa Cruz,Atlético-MG,Atlético-MG,Arruda,1,2,PE,MG,MG
18,2000-09-24,17h00,Domingo,Corinthians,Ponte Preta,Corinthians,Pacaembu,1,0,SP,SP,SP
18,2000-09-24,17h00,Domingo,Goiás,Cruzeiro,Goiás,Serra Dourada,2,0,GO,MG,GO
18,2000-09-24,18h30,Domingo,Fluminense,Palmeiras,Palmeiras,Maracanã,0,1,RJ,SP,SP
18,2000-09-24,16h00,Domingo,Portuguesa,Sport,Portuguesa,Canindé,1,0,SP,PE,SP
18,2000-09-24,17h00,Domingo,Gama,São Paulo,São Paulo,Mané Garrincha,1,3,DF,SP,SP
18,2000-09-24,18h30,Domingo,Juventude,Vasco,Vasco,Alfredo Jaconi,1,2,RS,RJ,RJ
19,2000-09-27,20h30,Quarta-feira,Botafogo-RJ,Vitória,-,Maracanã,0,0,RJ,ES,-
19,2000-09-27,20h30,Quarta-feira,Portuguesa,Guarani,Guarani,Canindé,2,3,SP,SP,SP
19,2000-09-27,20h30,Quarta-feira,Ponte Preta,Sport,Ponte Preta,Moisés Lucarelli,3,0,SP,PE,SP
19,2000-09-27,20h30,Quarta-feira,Santa Cruz,Juventude,Santa Cruz,Arruda,2,1,PE,RS,PE
19,2000-09-27,20h30,Quarta-feira,São Paulo,América-MG,São Paulo,Morumbi,3,0,SP,MG,SP
19,2000-09-28,20h30,Quinta-feira,Corinthians,Athlético-PR,Athlético-PR,Pacaembu,2,3,SP,PR,PR
20,2000-09-30,16h00,Sábado,Goiás,São Paulo,-,Serra Dourada,2,2,GO,SP,-
20,2000-09-30,16h00,Sábado,América-MG,Juventude,América-MG,Independência,3,0,MG,RS,MG
20,2000-09-30,16h00,Sábado,Atlético-MG,Cruzeiro,Cruzeiro,Mineirão,2,4,MG,MG,MG
20,2000-09-30,16h00,Sábado,Gama,Flamengo,Flamengo,Mané Garrincha,2,4,DF,RJ,RJ
20,2000-09-30,18h00,Sábado,Coritiba,Grêmio,Grêmio,Couto Pereira,1,2,PR,RS,RS
20,2000-09-30,18h00,Sábado,Sport,Fluminense,Sport,Ilha do Retiro,3,2,PE,RJ,PE
21,2000-10-04,20h30,Quarta-feira,São Paulo,Grêmio,-,Morumbi,1,1,SP,RS,-
21,2000-10-04,20h30,Quarta-feira,América-MG,Portuguesa,-,Independência,1,1,MG,SP,-
21,2000-10-04,20h30,Quarta-feira,Bahia,Vitória,Bahia,Fonte Nova,1,0,BH,ES,BA
21,2000-10-04,20h30,Quarta-feira,Botafogo-RJ,Juventude,Botafogo-RJ,Caio Martins,2,1,RJ,RS,RJ
21,2000-10-04,20h30,Quarta-feira,Gama,Santos,Gama,Mané Garrincha,2,1,DF,SP,DF
21,2000-10-04,20h30,Quarta-feira,Athlético-PR,Guarani,Guarani,Joaquim Américo,0,1,PR,SP,SP
21,2000-10-04,20h30,Quarta-feira,Palmeiras,Coritiba,Palmeiras,Pq. Antarctica,2,1,SP,PR,SP
21,2000-10-04,21h40,Quarta-feira,Ponte Preta,Flamengo,Ponte Preta,Moisés Lucarelli,2,0,SP,RJ,SP
21,2000-10-04,20h30,Quarta-feira,Santa Cruz,Sport,Sport,Arruda,0,3,PE,PE,PE
21,2000-10-04,20h30,Quarta-feira,Vasco,Atlético-MG,Vasco,São Januário,4,0,RJ,MG,RJ
22,2000-10-07,16h,Sábado,Guarani,Bahia,-,Brinco de Ouro,2,2,SP,BA,-
22,2000-10-07,16h,Sábado,América-MG,Cruzeiro,-,Independência,1,1,MG,MG,-
22,2000-10-07,16h,Sábado,Santos,Ponte Preta,-,Vila Belmiro,3,3,SP,SP,-
