"partida_id","rodata","clube","atleta","minuto","tipo_de_gol"
"4607","1","Fluminense","Nirley da Silva Fonseca","59","Gol Contra"
"4607","1","Fluminense","Fred","45","Penalty"
"4607","1","Fluminense","Rafael Sóbis","31",""
"4608","1","Internacional","Charles Aránguiz","6",""
"4612","1","Cruzeiro","Nílton Ferreira Júnior","63",""
"4612","1","Cruzeiro","Marcelo Moreno","90",""
"4612","1","Bahia","Anderson Talisca","80","Penalty"
"4611","1","Sao Paulo","Antônio Carlos dos Santos Aguiar","13",""
"4611","1","Sao Paulo","Douglas Pereira dos Santos","22",""
"4611","1","Sao Paulo","Luís Fabiano","56",""
"4610","1","Athletico-PR","Dráusio Luis Salla Gil","16",""
"4615","1","Santos","Gabriel Barbosa","80",""
"4615","1","Sport","Neto Baiano","73",""
"4616","1","Criciuma","Paulo Baier","12",""
"4616","1","Palmeiras","Leandro","83",""
"4616","1","Palmeiras","Alan Kardec","88",""
"4618","2","Fluminense","Rafael Sóbis","45",""
"4620","2","Vitoria","Telmário de Araújo Sacramento","11",""
"4620","2","Vitoria","José Welison","36",""
"4620","2","Athletico-PR","Mosquito","78",""
"4620","2","Athletico-PR","Marcelo Cirino da Silva","83",""
"4622","2","Cruzeiro","Júlio Baptista","50",""
"4622","2","Sao Paulo","Antônio Carlos dos Santos Aguiar","90+2",""
"4619","2","Botafogo-RJ","Emerson Sheik","64",""
"4619","2","Botafogo-RJ","Pablo Zeballos","75",""
"4619","2","Internacional","Rafael Moura","9",""
"4619","2","Internacional","Rafael Moura","35",""
"4621","2","Corinthians","Guilherme dos Santos Torres","9",""
"4621","2","Corinthians","Carlos Gilberto do Nascimento Silva","80",""
"4626","2","Chapecoense","Ricardo Conceição","37",""
"4626","2","Sport","Rithely","12",""
"4626","2","Sport","Ananias Elói Castro Monteiro","38",""
"4623","2","Bahia","Lincoln Cássio de Souza Soares","8",""
"4623","2","Bahia","Fahel","74",""
"4624","2","Atletico-MG","Luiz Fernando Pereira da Silva","84",""
"4624","2","Gremio","Alan Ruiz","11",""
"4624","2","Gremio","Lucas Coelho","22",""
"4625","2","Goias","Willian José de Souza","82",""
"4628","3","Cruzeiro","Elierce Barbosa de Souza","75","Penalty"
"4628","3","Cruzeiro","Marcelo Moreno","83",""
"4628","3","Athletico-PR","Éderson Alves Ribeiro Silva","24",""
"4628","3","Athletico-PR","Marcelo Cirino da Silva","40",""
"4628","3","Cruzeiro","Nílton Ferreira Júnior","36",""
"4629","3","Coritiba","Luis Francisco Grando","61",""
"4629","3","Sao Paulo","Alexandre Pato","22",""
"4629","3","Sao Paulo","Ademilson","72",""
"4629","3","Coritiba","Róbson Michael Signorini","30",""
"4630","3","Fluminense","Wagner Ferreira dos Santos","88",""
"4630","3","Vitoria","Marcos Antônio da Silva Gonçalves","54",""
"4630","3","Vitoria","Marcos Antônio da Silva Gonçalves","83",""
"4631","3","Criciuma","Silvinho","14",""
"4634","3","Flamengo","Alecsandro","73",""
"4634","3","Flamengo","Paulinho","14",""
"4634","3","Palmeiras","Wesley Lopes Beltrame","11",""
"4634","3","Palmeiras","Henrique Dourado","31",""
"4634","3","Flamengo","Márcio Rodrigues Araújo","50",""
"4634","3","Flamengo","Alecsandro","60",""
"4633","3","Bahia","Maxi Biancucchi","59",""
"4632","3","Internacional","Andrés D'Alessandro","13",""
"4632","3","Internacional","Charles Aránguiz","45+1",""
"4632","3","Sport","Patric Cabral Lalau","78",""
"4635","3","Corinthians","Paolo Guerrero","78",""
"4636","3","Goias","David França Oliveira e Silva","69",""
"4638","4","Palmeiras","Lucimar da Silva Ferreira","16",""
"4638","4","Palmeiras","Henrique Dourado","32",""
"4637","4","Internacional","Andrés D'Alessandro","54",""
"4637","4","Internacional","Alan Patrick","67",""
"4637","4","Athletico-PR","Marcos Guilherme","52",""
